Year,Month,Day,Place,Hot.Dogs,MINS,NAME,CONTEST,Qual,Gender,Location
2005,Jul,4,4th,29,12,Kenji Oguni,Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,6th,25.5,12,"Rich ""The Locust"" LeFevre",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,7th,25,12,Carlene LeFevre,Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,8th,23,12,Ron Koch,Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,9th,22.5,12,"Tim ""Eater X"" Janus",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,10th,22,12,"Eric ""Badlands"" Booker",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,10th,22,12,"""Hungry"" Charles Hardy",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,12th,20,12,"Pat ""from Moonachie"" Philbin",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,13th,19,12,Crazy Legs Conti,Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,14th,18,12,"Joe ""JamminJoe"" LaRue",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,15th,15,12,"Don ""Moses"" Lerman",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,4,16th,10,12,Rob Burns,Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2005,Jul,2,1st,20,12,Crazy Legs Conti,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Queens, NY"
2005,Jun,29,1st,22.5,12,"Eric ""Badlands"" Booker",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Manhattan, NY"
2005,Jun,25,1st,24,12,"Ed ""Cookie"" Jarvis",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Central Islip, NY"
2005,Jun,25,1st,23,12,Carlene LeFevre,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2005,Jun,25,2nd,18.75,12,"Bob ""The Notorious B.O.B."" Shoudt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2005,Jun,25,2nd,?,12,Oleg Zhornitskiy,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Central Islip, NY"
2005,Jun,25,3rd,18,12,"Loren ""Bubba"" Yarbrough",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2005,Jun,25,3rd,17.5,12,"Pat ""Deep Dish"" Bertoletti",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Central Islip, NY"
2005,Jun,25,?,15,12,"Hall ""Hoover"" Hunt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2005,Jun,25,?,11,12,"Paul ""BoneBreaker"" Barlow, Jr.",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2005,Jun,25,?,?,12,"Dale ""Mouth of the South"" Boone",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
2005,Jun,24,1st,21,12,"""Hungry"" Charles Hardy",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Cranbury, NJ"
2005,Jun,24,2nd,19,12,Crazy Legs Conti,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Cranbury, NJ"
2005,Jun,24,3rd,18.5,12,"Bob ""The Notorious B.O.B."" Shoudt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Cranbury, NJ"
2005,Jun,18,1st,20,12,"Joe ""JamminJoe"" LaRue",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Pembroke Pines, FL"
2005,Jun,18,2nd,14,12,"Hall ""Hoover"" Hunt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Pembroke Pines, FL"
2005,Jun,18,2nd,14,12,Kosol Kim,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Pembroke Pines, FL"
2005,Jun,18,?,?,12,"Michael ""Per Diem"" Parish",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Pembroke Pines, FL"
2005,Jun,11,1st,32,12,"Sonya ""The Black Widow"" Thomas",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Norfolk, VA"
2005,Jun,11,1st,19,12,Kenji Oguni,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tokyo, Japan"
2005,Jun,11,2nd,18,12,"Miyuki ""Eastern Queen"" Iwata",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tokyo, Japan"
2005,Jun,4,1st,21,12,Ron Koch,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tempe, AZ"
2005,Jun,4,1st,20.5,12,"Joey ""Jaws"" Chestnut",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Daly City, CA"
2005,Jun,4,2nd,19,12,"""Jalapeno"" Jed Donahue",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Daly City, CA"
2005,Jun,4,2nd,18,12,Carlene LeFevre,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tempe, AZ"
2005,Jun,4,3rd,18.5,12,"""Hungry"" Charles Hardy",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Daly City, CA"
2005,Jun,4,3rd,13.5,12,"Mark ""The Human Vacuum"" Lyle",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Tempe, AZ"
2005,Jun,4,4th,17,12,Crazy Legs Conti,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Daly City, CA"
2005,Jun,4,?,9.25,12,Rob Brooks,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Daly City, CA"
